strain_original,accession,authors,institution,date
hMPX/Human/USA/CA-LACPHL-MA00026/2022,OP440599,"Hemarajata,P., Green,N.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-21
MpxV/human/CAN/UN-NML-4017/2022,OP270026,"Duggan,A., Hole,D., Yadav,C., Knox,N., Tyler,A., Haidl,E., Chapel,M., Domselaar,G.V., Graham,M., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Antonation,K., Griffiths,E., Jolly,G., Charest,H., Levade,I., Fafard,J.","National Microbiology Laboratory, Public Health Agency of Canada",2022-07-05
hMPXV-IHU00018,OP382495,"Colson,P.","IHU - Mediterranee Infection, MEPHI",2022-07-22
MPXV/Germany/2022/RKI539,OP715819,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-06-XX
MPX/Human/USA/CA-LACPHL-MA00254/2022,OP722513,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-11
ANT-LDSP-ANT-MPX-28354C,OQ261707,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-10-14
hMPX/Human/USA/CA-LACPHL-MA00088/2022,OP442554,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-08-03
MpxV/human/USA/WA-UW-082029/2022,OP310051,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MPX/Human/USA/CA-LACPHL-MA00113/2022,OP539898,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-08-30
MpxV/human/USA/WA-UW-085462/2022,OP392547,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MPX/Human/USA/CA-LACPHL-MA00125/2022,OP539910,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-09
ANT-LDSP-ANT-MPX-28220C,OQ261700,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-10-13
MPXV_UK_2022_9000137,OP205102,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-07-07
MPXV/Human/USA/CA-LACPHL-MA00297/2022,OP890531,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-30
NJ-MPXV-050,OP879764,"Palmateer,N.C.","New Jersey Department of Health, Public Health and Environmental Laboratories",2022-07-XX
MPXV/Germany/2022/RKI010,ON682267,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany",2022-05-XX
MPXV/Germany/2022/RKI576,OP837338,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-06-XX
MpxV/human/USA/WA-UW-088973/2022,OP310065,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MPX/Human/USA/CA-LACPHL-MA00104/2022,OP539889,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-08-11
MPXV_USA_2022_TX0031,OP881953,"Gigante,C., Kubin,G., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., White,S., Li,Y.","CDC, DHCPP-PRB",2022-09-XX
MPXV_USA_2022_NY0027,OQ054228,"Gigante,C., Ruiz,V., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Wang,J., Li,Y.","CDC, DHCPP-PRB",2022-09-XX
Monkeypox virus/Human/USA/CA-LACPHL-MA00266/2022,OP748952,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-14
MpxV/human/USA/WA-UW-109000/2022,OP747058,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-10-XX
MPXV/Human/USA/CA-LACPHL-MA00341/2022,OP920679,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-19
MPXV/Human/USA/CA-LACPHL-MA00359/2022,OP920697,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-11-05
MPXV_UK_2022_9000070,OP205076,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-09
Monkeypox virus/Human/USA/CA-LACPHL-MA00225/2022,OP680503,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-03
Monkeypox virus/Human/USA/CA-LACPHL-MA00395/2022,OQ330974,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-12-23
MPXV_USA_2022_CT0002,OP451009,"Gigante,C.M., Pearson,C., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Maloney,M., Li,Y.","CDC, DHCPP-PRB",2022-07-XX
MPXV/Human/USA/CA-LACPHL-MA00307/2022,OP890541,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-28
MpxV/human/USA/WA-UW-098721/2022,OP743987,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
MPXV_UK_2022_9000099,OP205087,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-09
MPXV/Human/USA/CA-LACPHL-MA00337/2022,OP920675,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-14
MPX/Human/USA/CA-LACPHL-MA00141/2022,OP539926,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-08-25
MPX_wQMHV0_9000204,OP415185,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-07-XX
Monkeypox virus/Human/USA/CA-LACPHL-MA00264/2022,OP748950,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-07
PatientMPXV,OP204840,"Seang,S., Burrel,S., Todesco,E., Leducq,V., Monsel,G., Le Pluart,D., Cordevant,C., Pourcher,V., Palich,R., Charpentier,C.","APHP Pitie Salpetriere SU, Virology",2022-06-10
MpxV/human/USA/WA-UW-088432/2022,OP257247,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MpxV/human/USA/Unknown-UW-109319/2022,OP747059,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-10-XX
hMPX/Human/USA/CA-LACPHL-MA00090/2022,OP442569,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-29
MPXV_UK_2022_9000177,OP205126,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-26
MPXV-USA-IL-IDPH-013,OP536674,"Gagnon,K.T.","Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry",2022-07-06
ANT-LDSP-ANT-MPX-28766E,OQ261709,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-10-21
MPXV/Germany/2022/RKI035,ON755241,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-06-XX
MPXV/Spain/HUNSC_ITER_0001b/2022,ON782055,"Alcoba-Florez,J., Munoz-Barrera,A., Ciuffreda,L., Rodriguez-Perez,H., Rubio-Rodriguez,L.A., Gil-Campesino,H., Garcia-Martinez de Artola,D., Inigo-Campos,A., Diez-Gil,O., Gonzalez-Montelongo,R., Valenzuela-Fernandez,A., Lorenzo-Salazar,J.M., Flores,C.",,2022-05-31
MPX/Human/USA/CA-LACPHL-MA00128/2022,OP539913,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-09
MPXV/Human/USA/CA-LACPHL-MA00286/2022,OP890544,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-04
MPX/Human/USA/CA-LACPHL-MA00197/2022,OP615270,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-19
Monkeypox/PT0356/2022,OP414383,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-05-23
Monkeypox virus/Human/USA/CA-LACPHL-MA00375/2022,OQ330978,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-06
Monkeypox virus/Human/USA/CA-LACPHL-MA00227/2022,OP680505,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-03
MpxV/human/USA/WA-UW-088248/2022,OP743962,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
Monkeypox virus/Human/USA/CA-LACPHL-MA00259/2022,OP748945,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-13
MPXV_USA_2022_TN0004,OP450988,"Gigante,C.M., Thomas,L., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Dunn,J., Li,Y.","CDC, DHCPP-PRB",2022-07-XX
Monkeypox virus/Human/USA/CA-LACPHL-MA00383/2022,OQ330990,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-19
hMPX/USA/CA-LACPHL-MA00167/2022,OP580600,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-19
MPXV22/human/USA-OK-270,OP650030,"Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., O'Dell,J.X., Mannell,M., Wiley,M.R., Cross,S.T.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",2022-09-06
MpxV/human/USA/WA-UW-082002/2022,OP628445,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
LBMB-UTP_MP-009_TOL,OQ148466,"Orjuela,M., Tabares,F.A., Anacona,J.D., Lopez,P.A., Zuluaga-Velez,A., Sepulveda-Arias,J.C.","Universidad Tecnologica de Pereira, Laboratorio de Biologia Molecular y Biotecnologia / Facultad de ciencias de la salud",2022-09-13
hMpxV/Human/USA/IL-RIPHL-MPXV_10013/2022,OQ121957,"Barbian,H., Green,S., Kunstman,K., Araujo Perez,F., Bobrovska,S., Hayden,M., Moore,N.","Rush University Meical Center, Regional Innovative Public Health Laboratory (RIPHL)",2022-09-05
MPX_2v76E1_9000222,OP415198,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-07-XX
NJ-MPXV-006-rpt1,OP879727,"Palmateer,N.C.","New Jersey Department of Health, Public Health and Environmental Laboratories",2022-08-XX
MPXV_USA_2022_IL0029,OQ054223,"Gigante,C., Ghinai,I., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Kerins,J., Li,Y.","CDC, DHCPP-PRB",2022-09-XX
Monkeypox virus/Human/USA/CA-LACPHL-MA00363/2022,OQ330980,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-07
MPX/Human/USA/CA-LACPHL-MA00116/2022,OP539901,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-14
Monkeypox virus/Human/USA/CA-LACPHL-MA00222/2022,OP680500,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-03
hMPX/Human/USA/CA-LACPHL-MA00048/2022,OP440556,"Hemarajata,P., Green,N.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-25
MPXV/Germany/2022/RKI011,ON694342,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany",2022-05-XX
MPXV_USA_2022_TX0027,OQ054240,"Gigante,C., Kubin,G., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Sheth,M.R., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., White,S., Li,Y.","CDC, DHCPP-PRB",2022-09-XX
Monkeypox/PT0242/2022,OP414286,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-06-21
MpxV/human/USA/WA-UW-083951/2022,OP628453,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MpxV/human/USA/WA-UW-089266/2022,OP310042,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
Monkeypox virus/Human/USA/CA-LACPHL-MA00376/2022,OQ330981,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-09
MPXV/Human/USA/CA-LACPHL-MA00360/2022,OP920698,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-11-02
MpxV/human/CAN/UN-NML-3530/2022,ON983161,"Duggan,A., Hole,D., Yadav,C., Knox,N., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Marchand-Austin,A., Eshaghi,A., Patel,S.N., Hasso,M., Gubbay,J.B., Olsha,R.","National Microbiology Laboratory, Public Health Agency of Canada",2022-06-03
MPX_IMt4nT_9000212,OP415191,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-07-XX
Monkeypox virus/Human/USA/CA-LACPHL-MA00388/2022,OQ330995,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-12-10
MPXV/Germany/2022/RKI143,ON959158,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-07-XX
Monkeypox virus/Human/USA/CA-LACPHL-MA00279/2022,OP748965,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-20
DC_INS_MPX_1011_L,OP837478,"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-09-20
MpxV/human/USA/WA-UW-091072/2022,OP715788,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
hMPX/USA/CA-LACPHL-MA00179/2022,OP580612,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-20
Monkeypox/PT0010/2022,ON585036,"Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P.","Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal",2022-05-15
MN-MDH-MPXV_0023,OP597797,"Plumb,M.R.",Minnesota Department of Health,2022-07-22
NJ-MPXV-014-rep2,OP879734,"Palmateer,N.C.","New Jersey Department of Health, Public Health and Environmental Laboratories",2022-09-03
MPXV/Human/USA/CA-LACPHL-MA00292/2022,OP890550,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-07
MPXV/Germany/2022/RKI037,ON755243,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-06-XX
MpxV/human/CAN/UN-NML-3440/2022,OP586622,"Duggan,A., Hole,D., Yadav,C., Knox,N., Haidl,E., Chapel,M., Tyler,A.D., Domselaar,G.V., Graham,M., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Kaplen,B., Antonation,K., Laminman,V., Jolly,G., Croxen,M., Deo,A., Dieu,P., Dong,X., Gill,K., Granger,D., Ferrato,C., Ikkurti,V., Kanji,J., Koleva,P., Li,V., Lloyd,C., Lynch,T., Ma,R., Pabbaraju,K., Rotich,S., Sergeant,H., Skitsko,T., Tipples,G., Thayer,J., Shideler,S., Wong,A.","National Microbiology Laboratory, Public Health Agency of Canada",2022-06-06
MpxV/human/USA/WA-UW-099102/2022,OP743966,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
hMPX/Human/USA/CA-LACPHL-MA00003/2022,OP440567,"Hemarajata,P., Green,N.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-17
MPXV/Germany/2022/ON/RKI604,OP863254,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-08-XX
B1118385,OP751213,"Bajwa,M.I., Miller,H.","Delaware Public Health Lab, Sequencing/Bioinformatics",2022-08-30
MPXV/ITM_pt_25/Belgium/16-Jun-2022,OP144214,"De Baetselier,I., Van Dijck,C., Kenyon,C., Coppens,J., Smet,H., de Block,T., Coppens,S., Vanroye,F., Bugert,J., Girl,P., Liesenborghs,L., Selhorst,P., Arien,K., den Bossche,D.V., Florence,E., Rezende,A.M., Vercauteren,K., Esbroeck,M.V., Bracke,S., Brosius,I., Soentjens,P.","Institute of Tropica Medicine, Department of Clinical Sciences",2022-06-16
MPXV/Germany/2022/RKI487,OP626125,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-07-XX
LIM-INS-012,OP320552,"Padilla,C., Silva,I., Hurtado,V., Jimenez,V., Barcena,L., Lope,P., Arotinco,G.","Instituto Nacional de Salud Peru, Laboratorio de Biotecnologia y Biologia Molecular",2022-07-06
MpxV/human/USA/WA-UW-090727/2022,OP628488,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
MpxV/human/USA/WA-UW-091162/2022,OP743980,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
B1118402,OP751216,"Bajwa,M.I., Miller,H.","Delaware Public Health Lab, Sequencing/Bioinformatics",2022-09-07
MpxV/human/USA/WA-UW-074184/2022,OP169341,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-07-XX
Monkeypox/PT0321/2022,OP414353,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-06-04
MPXV_UK_2022_2,ON619836,"Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M.","Research & Evaluation, UKHSA, UK",2022-05-XX
Monkeypox/PT0048/2022,ON843163,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.",,2022-05-13
hMPXV-IHU00017,OP382494,"Colson,P.","IHU - Mediterranee Infection, MEPHI",2022-07-22
hMpxV/USA/CA-CDPH-1000060/2022,OQ121014,"Probert,W., Espinosa,A., Kath,C., Haw,M., Bell,J., Hacker,J.","CDPH, VRDL",2022-08-08
Monkeypox/PT0365/2022,OP414388,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-06-27
